F,S11,S21,S31,S41,S12,S22,S32,S42,S13,S23,S33,S43,S14,S24,S34,S44,S11',S21',S31',S41',S12',S22',S32',S42',S13',S23',S33',S43',S14',S24',S34',S44'
0.02,-58.881676,-0.010114779,-77.568467,-77.850699,-0.010114779,-58.881692,-77.850687,-77.570671,-77.568459,-77.850649,-58.881672,-0.010114779,-77.850704,-77.570675,-0.010114779,-58.881708,-58.881676,-0.010114779,-77.568467,-77.850699,-0.010114779,-58.881692,-77.850687,-77.570671,-77.568459,-77.850649,-58.881672,-0.010114779,-77.850704,-77.570675,-0.010114779,-58.881708
0.039999999,-58.865518,-0.010115528,-77.188129,-77.749718,-0.010115528,-58.865547,-77.749705,-77.19012,-77.188122,-77.749669,-58.865512,-0.010115528,-77.749722,-77.190123,-0.010115528,-58.865564,-58.865518,-0.010115528,-77.188129,-77.749718,-0.010115528,-58.865547,-77.749705,-77.19012,-77.188122,-77.749669,-58.865512,-0.010115528,-77.749722,-77.190123,-0.010115528,-58.865564
0.059999999,-58.838719,-0.01011712,-76.620029,-77.586465,-0.01011712,-58.838771,-77.586453,-76.621735,-76.620023,-77.586417,-58.838715,-0.01011712,-77.586469,-76.621737,-0.01011712,-58.838788,-58.838719,-0.01011712,-76.620029,-77.586465,-0.01011712,-58.838771,-77.586453,-76.621735,-76.620023,-77.586417,-58.838715,-0.01011712,-77.586469,-76.621737,-0.01011712,-58.838788
0.079999998,-58.801478,-0.010118521,-75.932013,-77.367758,-0.010118521,-58.801562,-77.367747,-75.933418,-75.932009,-77.367713,-58.801473,-0.010118521,-77.367761,-75.933421,-0.010118521,-58.801578,-58.801478,-0.010118521,-75.932013,-77.367758,-0.010118521,-58.801562,-77.367747,-75.933418,-75.932009,-77.367713,-58.801473,-0.010118521,-77.367761,-75.933421,-0.010118521,-58.801578
0.099999994,-58.754063,-0.010120765,-75.182502,-77.10184,-0.010120765,-58.754187,-77.101829,-75.183629,-75.182497,-77.101797,-58.754059,-0.010120765,-77.101842,-75.183632,-0.010120765,-58.754203,-58.754063,-0.010120765,-75.182502,-77.10184,-0.010120765,-58.754187,-77.101829,-75.183629,-75.182497,-77.101797,-58.754059,-0.010120765,-77.101842,-75.183632,-0.010120765,-58.754203
0.12,-58.696808,-0.010123336,-74.41343,-76.797502,-0.010123336,-58.696979,-76.797491,-74.41432,-74.413427,-76.797462,-58.696803,-0.010123336,-76.797504,-74.414322,-0.010123336,-58.696995,-58.696808,-0.010123336,-74.41343,-76.797502,-0.010123336,-58.696979,-76.797491,-74.41432,-74.413427,-76.797462,-58.696803,-0.010123336,-76.797504,-74.414322,-0.010123336,-58.696995
0.14,-58.630105,-0.010126751,-73.651408,-76.463342,-0.010126751,-58.630331,-76.463332,-73.6521,-73.651406,-76.463306,-58.630101,-0.010126233,-76.463345,-73.652101,-0.010126751,-58.630347,-58.630105,-0.010126751,-73.651408,-76.463342,-0.010126751,-58.630331,-76.463332,-73.6521,-73.651406,-76.463306,-58.630101,-0.010126233,-76.463345,-73.652101,-0.010126751,-58.630347
0.16,-58.554398,-0.010130493,-72.91171,-76.10725,-0.010130493,-58.554684,-76.107241,-72.91224,-72.911707,-76.107216,-58.554393,-0.010130493,-76.107252,-72.912241,-0.010130493,-58.5547,-58.554398,-0.010130493,-72.91171,-76.10725,-0.010130493,-58.554684,-76.107241,-72.91224,-72.911707,-76.107216,-58.554393,-0.010130493,-76.107252,-72.912241,-0.010130493,-58.5547
0.17999999,-58.470167,-0.01013456,-72.202158,-75.736113,-0.01013456,-58.470521,-75.736104,-72.202556,-72.202155,-75.736082,-58.470163,-0.01013456,-75.736115,-72.202557,-0.01013456,-58.470537,-58.470167,-0.01013456,-72.202158,-75.736113,-0.01013456,-58.470521,-75.736104,-72.202556,-72.202155,-75.736082,-58.470163,-0.01013456,-75.736115,-72.202557,-0.01013456,-58.470537
0.19999999,-58.37793,-0.010139472,-71.526012,-75.355712,-0.010139472,-58.378355,-75.355705,-71.526303,-71.52601,-75.355685,-58.377926,-0.010139472,-75.355714,-71.526304,-0.010139472,-58.37837,-58.37793,-0.010139472,-71.526012,-75.355712,-0.010139472,-58.378355,-75.355705,-71.526303,-71.52601,-75.355685,-58.377926,-0.010139472,-75.355714,-71.526304,-0.010139472,-58.37837
